0x000a24f3	Player.InteriorRoomStyleInfo.Sloppy01.InformedNewRelease
0x00158a27	Work/Mii/EyeAccessoryParam/Eye066.mii__EyeAccessoryParam.gyml
0x001938f6	Work/Data/ClothParam/ClothTopsTshirtLongSummerCardigan.data__ClothParam.gyml
0x0029952d	PosX
0x002f9891	Misc_EmotionTelopChatRestaurant
0x0030d252	Plus1
0x0032fc39	Player.GoodsInfo2.SpeechBubbleBronze.LastObtainedSec
0x00397345	Player.GoodsInfo2.WindUpTeeth.IsNewlyOwned
0x003e11ed	Work/Data/CoordinateClothInfo/Coordinate0270.data__CoordinateClothInfo.gyml
0x00412292	LvUPGoods_Guitar_House_Deject
0x004303fc	DemoPR000097
0x004bd705	Goods_Karate
0x004fd4c1	Player.HabitInfo2.EatCrisp.LastObtainedSec
0x0051b242	ClothTopslongMuscleLongProWrestling
0x005500e1	ObjTreeConiferous_Center
0x005e7c35	SkirtS
0x005fc885	Work/Data/ClothModelParam/ClothShoesThickFur.data__ClothModelParam.gyml
0x0060e939	Work/Confluence/PageInfo/HairAllLegacy056.pp__Confluence__PageInfo.gyml
0x00646848	Trouble_Confession_Failure
0x0066c678	StyleGroup_Party00
0x0066d231	TreasureGameEmotionTelopChatScaryAtRoom
0x00670ae5	House.RoomStyleInfo.Flag.Stuffed02
0x006faf15	Player.GoodsInfo2.GameRacing.OwnNum
0x00700c90	ClothTopsTshirtLongPaisley
0x00711efb	Work/Data/CoordinateAttribute/Coordinate0322.data__CoordinateAttribute.gyml
0x007347db	ClothShoesSandalJelly
0x00762e12	Work/Data/CoordinateAttribute/Coordinate0036.data__CoordinateAttribute.gyml
0x00769b79	TopsPuff
0x00783c5e	ObjFenceIron_07
0x00797b51	Game00
0x0082b541	Unlock
0x00839907	Work/Data/ClothModelParam/ClothBottomsSkirtMiniSunflower.data__ClothModelParam.gyml
0x00891a4b	Pungent
0x008b3607	Work/Data/ClothParam/ClothBottomsPantsWideSki.data__ClothParam.gyml
0x008ea8cb	Player.InteriorRoomStyleInfo.BigFlower03.OwnNum
0x00929f7c	Player.InteriorRoomStyleInfo.HoneycombTile03
0x00984ed3	Player.InteriorRoomStyleInfo.Garage01.LastObtainedSec
0x009866fa	DemoPR000123
0x009e8ca4	Player.HabitInfo2.StandLeanForward
0x00a2b2ce	Player.InteriorRoomStyleInfo.Damask04.OwnNum
0x00ab5e24	Work/Data/ClothModelParam/ClothTopslongOverallHalfWader.data__ClothModelParam.gyml
0x00afa50f	Work/Data/ClothModelParam/ClothAccessoryNeckFlower.data__ClothModelParam.gyml
0x00afd2ba	Player.InteriorRoomStyleInfo.Garage07.State
0x00bc09b7	UGC.SuspendMii.ImportHeadwearColorIndex
0x00be70f7	Player.GoodsInfo2.DucksToy
0x00bf02bf	ObjTreePalm_Center
0x00c3144e	Player.InteriorRoomStyleInfo.Garage07.KeyHash
0x00c45db4	Player.InteriorRoomStyleInfo.Damask03.State
0x00c4a93a	Player.InteriorRoomStyleInfo.Brick01.LastObtainedSec
0x00c4ba4a	Player.HabitInfo2.VoiceShiny.OwnNum
0x00c7a81a	RoomDoorEntrance
0x00cf13b7	UGC.SuspendData.UgcClothGenreType
0x00cfcf77	Work/Data/ClothParam/ClothShoesBootsLongWrestling.data__ClothParam.gyml
0x00d747eb	Coordinate0220
0x00dc12c1	TreasureRecordEmotionTelopChatScarySpeech
0x00e78b56	Work/Data/ClothParam/ClothSocksTabi.data__ClothParam.gyml
0x00f20da9	Work/Confluence/PageInfo/HairBack041.pp__Confluence__PageInfo.gyml
0x00f79623	ObjTreeBroadleaf
0x00f7e4eb	Player.InteriorRoomStyleInfo.Dot03.OwnNum
0x00f933ce	LvUPGoods_Guitar_House_raw
0x0100402f	NoTexture
0x01018e08	Player.BirthDay
0x010854b0	Childcare.Pending.HabitOwnInfo.GreetingBow.IsChecked
0x010a6783	DemoPR000098
0x010cd330	Work/Data/CoordinateClothInfo/Coordinate0022.data__CoordinateClothInfo.gyml
0x010cfaf3	Player.InteriorRoomStyleInfo.Bathroom04.IsNewlyOwned
0x010d49df	BGSetId
0x010f5948	ClothAccessoryWaistDevil
0x0113a4f5	ObjChinese00_WallDeco
0x011806d9	Player.InteriorRoomStyleInfo.NightView00.IsNewlyOwned
0x011e849d	Work/Data/ClothParam/ClothAllCostumeLongMushroom.data__ClothParam.gyml
0x011fa396	TroubleAskPlayerFellowship01
0x0124c686	Work/Data/ClothModelParam/ClothAccessoryChestBird.data__ClothModelParam.gyml
0x012770a6	ClothTopsYshirtHalfRugby
0x01320ff5	Player.InteriorRoomStyleInfo.Factry00.FirstObtainedSec
0x013dbb4c	ObjBaby00_Toy
0x013fe3f5	DumbbellSchoolLDK
0x0142cbb0	ObjCountry00_Table
0x014311d3	Player.InteriorRoomStyleInfo.Office01.OwnNum
0x01449eee	Confession
0x01450f91	Player.GoodsInfo2.WindUpTeeth.State
0x01478860	Mii.Location
0x0149a3d2	Mii.Belongings.RoomStyleInfo.Flag.Office01
